瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),老炼(hr),老荤(MJ/m2),傈款樊(10盒困),瘤搁柯档(∑C)
156,堡林,2022-07-01 00:00,25.6,,2.2,180,99,,,3,25
156,堡林,2022-07-01 01:00,25.1,,1.4,200,99,,,2,24.8
156,堡林,2022-07-01 02:00,25,,1.8,180,99,,,4,24.4
156,堡林,2022-07-01 03:00,24.9,,1.6,200,99,,,2,24.2
156,堡林,2022-07-01 04:00,24.5,,.4,0,99,,,3,24
156,堡林,2022-07-01 05:00,24.4,,1,50,99,,,3,24
156,堡林,2022-07-01 06:00,24,,.9,90,99,.1,.1,2,24
156,堡林,2022-07-01 07:00,25.1,,.9,70,99,1,.59,2,24.5
156,堡林,2022-07-01 08:00,27.3,,2.5,200,88,1,1.29,2,27.4
156,堡林,2022-07-01 09:00,28.4,,3.3,180,83,1,1.96,1,32
156,堡林,2022-07-01 10:00,29.8,,1.9,160,74,1,2.75,1,36
156,堡林,2022-07-01 11:00,30.1,,1.5,180,70,.9,2.62,4,35.1
156,堡林,2022-07-01 12:00,30.6,,3.6,230,68,.6,2.08,5,36.1
156,堡林,2022-07-01 13:00,31,,3.1,230,64,.7,2.73,5,36.3
156,堡林,2022-07-01 14:00,31.2,,3,200,64,.7,2.57,6,36.1
156,堡林,2022-07-01 15:00,32.5,,2.6,200,63,.9,2.76,6,38.9
156,堡林,2022-07-01 16:00,32.4,,2.6,180,58,.9,2.43,3,37.9
156,堡林,2022-07-01 17:00,32.3,,3.3,200,57,.9,1.98,1,35
156,堡林,2022-07-01 18:00,31.7,,3,200,54,1,1.44,0,31.6
156,堡林,2022-07-01 19:00,30.3,,2.8,200,61,.6,.73,0,29
156,堡林,2022-07-01 20:00,28.9,,3.1,180,62,.4,.15,1,26.8
156,堡林,2022-07-01 21:00,27.4,,1.4,230,67,,,0,25.7
156,堡林,2022-07-01 22:00,27.1,,1.5,200,73,,,0,25
156,堡林,2022-07-01 23:00,26.8,,.5,200,76,,,0,24.5
156,堡林,2022-07-02 00:00,25.9,,.1,0,79,,,0,24
156,堡林,2022-07-02 01:00,25.2,,.7,180,85,,,0,23.7
156,堡林,2022-07-02 02:00,24.6,,.4,0,87,,,0,23.3
156,堡林,2022-07-02 03:00,23.8,,.4,0,94,,,0,23
156,堡林,2022-07-02 04:00,23.2,,1,110,97,,,3,22.9
156,堡林,2022-07-02 05:00,23.2,,.9,90,97,,,4,22.7
156,堡林,2022-07-02 06:00,23.4,,.7,70,97,.1,.11,6,22.8
156,堡林,2022-07-02 07:00,23.8,,.1,0,97,1,.66,5,23.8
156,堡林,2022-07-02 08:00,26.3,,.4,0,85,1,1.24,0,26.8
156,堡林,2022-07-02 09:00,28.3,,.4,0,74,1,2.01,0,31.5
156,堡林,2022-07-02 10:00,30.6,,.4,0,67,1,2.69,3,37.1
156,堡林,2022-07-02 11:00,31.9,,.9,200,58,1,3.14,6,39.4
156,堡林,2022-07-02 12:00,32,,.7,250,57,1,3.23,6,42.7
156,堡林,2022-07-02 13:00,33,,.8,230,54,1,3.4,5,47.8
156,堡林,2022-07-02 14:00,33.5,,1.6,20,53,.7,2.5,4,44.5
156,堡林,2022-07-02 15:00,33.5,,1.2,50,53,.6,1.88,5,39.8
156,堡林,2022-07-02 16:00,34.2,,.9,20,53,.6,1.63,3,39.2
156,堡林,2022-07-02 17:00,34.5,,.9,140,48,.9,1.56,2,37.6
156,堡林,2022-07-02 18:00,32,,1.2,270,66,.7,.89,1,33.1
156,堡林,2022-07-02 19:00,30.6,,1.1,320,74,.3,.47,1,31.4
156,堡林,2022-07-02 20:00,29.1,,1.3,250,80,.2,.13,2,29.1
156,堡林,2022-07-02 21:00,28.3,,1.7,250,85,,,3,27.8
156,堡林,2022-07-02 22:00,27.8,,.8,270,87,,,8,27.2
156,堡林,2022-07-02 23:00,27.4,,1.1,250,85,,,7,26.6
156,堡林,2022-07-03 00:00,26.8,,1.5,230,87,,,8,26.6
156,堡林,2022-07-03 01:00,26.7,,.3,0,88,,,10,26.4
156,堡林,2022-07-03 02:00,26.3,,.5,290,89,,,10,25.9
156,堡林,2022-07-03 03:00,26.2,,.3,0,90,,,6,25.3
156,堡林,2022-07-03 04:00,25.6,,.8,50,96,,,7,25.2
156,堡林,2022-07-03 05:00,25.6,,.6,70,92,,,5,25
156,堡林,2022-07-03 06:00,25.2,,.1,0,94,0,.09,5,24.9
156,堡林,2022-07-03 07:00,25.7,,.7,50,90,.3,.35,5,25.8
156,堡林,2022-07-03 08:00,27.3,,1,70,80,1,1.17,7,28.8
156,堡林,2022-07-03 09:00,28.6,,.7,70,67,1,1.65,7,32.7
156,堡林,2022-07-03 10:00,30.3,,.5,20,62,1,2.16,8,37.1
156,堡林,2022-07-03 11:00,32.1,,1.4,200,57,1,2.98,6,44.2
156,堡林,2022-07-03 12:00,31.4,,1.3,180,63,.2,1.77,8,38.5
156,堡林,2022-07-03 13:00,32.1,,1.3,140,67,.3,2,9,39.2
156,堡林,2022-07-03 14:00,32,,2.2,180,59,0,1.41,9,39.5
156,堡林,2022-07-03 15:00,33.1,,2.3,230,58,.4,1.83,4,42.7
156,堡林,2022-07-03 16:00,32.3,,2.6,180,59,.8,2.18,8,38.2
156,堡林,2022-07-03 17:00,32.7,,1.7,180,58,.3,.95,8,37.2
156,堡林,2022-07-03 18:00,30.8,0,2.6,200,66,.3,.47,10,31
